id	Всего сообщений	Сообщений ученика	Сообщений учителя
126686652	10	6	4
301263550	8	6	2
239481265	9	4	5
94493417	10	5	5
301187697	7	5	2
351629899	15	8	7
333734385	6	3	3
538571500	10	4	6
532647982	17	9	8
401792706	47	25	22
498652579	10	6	4
271306269	11	6	5
352455699	18	9	9
195917050	8	6	2
135563563	50	19	31
143927383	4	2	2
520273840	6	0	0
231974164	8	6	2
429145349	7	4	3
97484555	5	4	1
458818090	7	3	4
502316587	12	4	8
292398157	5	2	3
208559087	21	10	11
277391949	15	10	5
543656360	4	2	2
210112860	5	1	4
165812534	13	5	8
246777326	14	9	5
180160064	10	6	4
326430841	11	7	4
291129196	10	5	5
256138264	11	7	4
172510578	6	3	3
445095241	14	8	6
164280411	13	6	7
132150128	8	6	2
139194032	21	12	9
525358861	5	2	3
522612773	35	15	20
89715287	6	3	3
537876010	10	5	5
382696971	11	7	4
124038313	9	7	2
166830732	9	3	6
287355182	9	6	3
61874159	5	3	2
57193881	6	5	1
175181378	32	15	17
105077045	24	9	15
115438861	9	5	4
152023489	3	2	1
508112332	13	8	5
306036032	41	20	21
245797486	10	7	3
220068171	6	5	1
185049336	15	7	8
181008256	10	6	4
298720502	24	12	12
439482487	28	14	14
133518452	10	5	5
56185742	91	38	53
171714789	17	9	8
298880200	7	3	4
249254837	10	7	3
155288103	20	10	10
160955392	8	5	3
330427715	7	3	4
360652335	6	3	3
506212911	8	3	5
228561505	8	6	2
208771927	7	2	5
370823275	12	4	8
238454223	10	7	3
489087458	14	8	6
90733187	6	3	3
448157539	12	4	8
543764641	85	41	44
157265885	2	1	1
216314166	7	2	5
157773927	7	4	3
297872807	20	11	9
199013028	18	9	9
158200592	7	5	2
150882997	37	21	16
159951569	14	7	7
185618290	23	10	13
216857834	7	3	4
150809312	4	2	2
172561318	5	2	3
259139907	16	6	10
269155388	9	3	6
471650901	16	9	7
500359446	25	14	11
175360490	9	5	4
202905853	23	12	11
181465433	13	8	5
236047695	8	3	5
134648480	4	2	2
170720513	7	5	2
508420727	11	6	5
418053276	5	2	3
238410574	3	1	2
508420727	11	6	5
418053276	5	2	3
238410574	3	1	2
76619255	13	5	8
254175742	13	7	6
119632317	8	3	5
215534446	67	26	41
170951319	13	5	8
203868007	15	7	8
469603604	16	7	9
479273721	29	17	12
154669649	26	12	14
172617816	4	2	2
146971059	10	4	6
419355239	10	4	6
139567091	14	8	6
191668285	15	9	6
177772684	21	7	14
307112088	4	2	2
357011440	6	3	3
459255993	18	9	9
459908220	10	7	3
295807169	10	7	3
184857204	15	6	9
270673068	35	17	18
358308684	9	6	3
141270329	20	10	10
370467756	14	8	6
179854846	18	7	11
172002015	9	5	4
115812501	13	5	8
180462716	21	9	12
238674678	10	4	6
249289797	17	8	9
153313114	5	2	3
223129198	17	9	8
222252696	11	5	6
433146184	8	4	4
188954044	28	16	12
203982608	12	8	4
216432710	19	9	10
458317991	13	5	8
165632232	4	2	2
445853679	12	7	5
58595032	16	10	6
91606702	9	4	5
516817201	15	6	9
477386566	14	10	4
132270970	31	15	16
64250211	28	15	13
263288514	9	6	3
106302579	22	8	14
321252004	10	7	3
137409770	10	6	4
319702871	14	8	6
195032969	4	2	2
217167991	9	7	2
347440265	12	8	4
162957119	87	37	50
454095268	3	2	1
203208788	10	6	4
238962909	12	6	6
522190861	39	19	20
525306194	16	9	7
252288226	20	9	11
177681815	12	7	5
470874382	8	6	2
376646771	18	10	8
132361296	3	2	1
155302126	4	2	2
184710891	31	15	16
214987403	8	6	2
252150131	16	9	7
280336920	22	13	9
118633379	6	5	1
354884368	6	5	1
122566845	16	6	10
166702750	15	9	6
182301424	7	5	2
366977662	10	7	3
194243558	10	4	6
162312223	24	13	11
444498870	5	2	3
151119480	13	8	5
376163404	5	2	3
389307237	10	4	6
274517968	10	7	3
59230324	15	6	9
144352389	4	2	2
141776899	9	6	3
371779853	15	7	8
223751743	6	3	3
218200077	14	9	5
279284716	28	13	15
319276624	8	4	4
201473861	8	6	2
221775819	13	8	5
143580742	11	7	4
210693280	13	8	5
492434887	13	8	5
429118579	2	1	1
202015383	7	5	2
138706633	4	2	2
211952118	8	6	2
521821541	11	8	3
338451785	7	4	3
118817817	8	6	2
452860334	19	9	10
77112046	20	11	9
92279664	14	7	7
142726040	27	14	13
327642316	15	8	7
319142574	6	3	3
281877381	21	9	12
286996738	7	5	2
170933890	9	5	4
71480636	7	5	2
237289501	23	11	12
176490090	29	13	16
195388299	7	3	4
40930260	14	6	8
508222454	27	0	0
174780299	43	22	21
207991198	5	2	3
408860240	3	1	2
133108956	3	2	1
137032321	16	6	10
96097922	13	8	5
429766445	11	5	6
300650058	16	10	6
446093990	7	3	4
488639954	13	8	5
88811716	23	13	10
166608591	6	5	1
244867283	8	6	2
230178133	6	2	4
312361165	4	2	2
290733572	8	6	2
151206056	5	2	3
124469472	6	5	1
181806025	15	9	6
179434760	23	13	10
160630119	2	1	1
165315367	10	6	4
475985089	7	3	4
