,anzsic06,Area,year,geo_count,ec_count
298,A,A137100,2021,0,0
299,A,A137400,2021,6,0
300,A,A137500,2021,3,0
301,A,A137600,2021,3,0
302,A,A137800,2021,3,0
303,A,A137900,2021,3,0
304,A,A138100,2021,3,0
305,A,A138200,2021,0,0
306,A,A138500,2021,18,40
307,A,A138600,2021,3,3
308,A,A138700,2021,6,0
309,A,A138900,2021,0,0
310,A,A139000,2021,3,0
311,A,A139100,2021,3,9
312,A,A139200,2021,6,0
313,A,A139300,2021,6,0
314,A,A139400,2021,9,0
315,A,A139700,2021,0,3
316,A,A139800,2021,3,0
317,A,A139900,2021,0,6
318,A,A140000,2021,9,3
319,A,A140200,2021,0,0
320,A,A140300,2021,9,0
321,A,A140400,2021,3,3
322,A,A140500,2021,3,0
323,A,A140800,2021,6,0
324,A,A140900,2021,0,0
325,A,A141100,2021,6,0
326,A,A141300,2021,0,0
327,A,A141500,2021,3,3
328,A,A141700,2021,6,3
329,A,A141800,2021,0,0
330,A,A142000,2021,3,0
331,A,A142100,2021,0,0
332,A,A142200,2021,6,6
273955,A,A100100,2020,87,250
273956,A,A100200,2020,132,240
273957,A,A100300,2020,6,25
273958,A,A100400,2020,54,80
273959,A,A100500,2020,63,95
273960,A,A100600,2020,15,50
273961,A,A100700,2020,12,18
273962,A,A100800,2020,24,75
273963,A,A100900,2020,51,30
273964,A,A101000,2020,45,30
273965,A,A101100,2020,12,15
273966,A,A101200,2020,78,15
273967,A,A101300,2020,78,12
273968,A,A101400,2020,51,25
273969,A,A101500,2020,54,6
273970,A,A101600,2020,39,25
273971,A,A101700,2020,54,25
273972,A,A101800,2020,48,20
273973,A,A101900,2020,42,15
273974,A,A102000,2020,81,35
273975,A,A102100,2020,42,9
273976,A,A102200,2020,93,250
273977,A,A102300,2020,78,40
273978,A,A102400,2020,39,25
273979,A,A102500,2020,30,55
273980,A,A102600,2020,87,260
273981,A,A102700,2020,42,30
273982,A,A102800,2020,15,21
273983,A,A102900,2020,45,6
273984,A,A103000,2020,21,30
273985,A,A103100,2020,51,110
273986,A,A103200,2020,75,65
273987,A,A103300,2020,57,30
273988,A,A103400,2020,57,50
273989,A,A103500,2020,18,45
273990,A,A103600,2020,54,20
273991,A,A103700,2020,9,20
273992,A,A103800,2020,6,6
273993,A,A103900,2020,3,0
273994,A,A104000,2020,33,50
273995,A,A104100,2020,57,25
273996,A,A104200,2020,9,18
273997,A,A104300,2020,9,0
273998,A,A104400,2020,12,3
273999,A,A104500,2020,3,3
274000,A,A104600,2020,6,0
274001,A,A104700,2020,81,50
274002,A,A104800,2020,189,180
274003,A,A104900,2020,156,150
274004,A,A105100,2020,120,90
274005,A,A105200,2020,3,0
274006,A,A105300,2020,69,100
274007,A,A105400,2020,309,310
274008,A,A105500,2020,9,0
274009,A,A105600,2020,36,35
274010,A,A105700,2020,36,9
274011,A,A105800,2020,0,0
274012,A,A105900,2020,6,0
274013,A,A106000,2020,6,0
274014,A,A106100,2020,6,0
274015,A,A106200,2020,0,0
274016,A,A106300,2020,42,50
274017,A,A106500,2020,6,15
274018,A,A106600,2020,30,25
274019,A,A106700,2020,42,18
274020,A,A106800,2020,6,0
274021,A,A106900,2020,9,9
274022,A,A107000,2020,3,0
274023,A,A107100,2020,42,100
274024,A,A107200,2020,3,0
274025,A,A107300,2020,3,0
274026,A,A107400,2020,3,0
274027,A,A107500,2020,6,6
274028,A,A107600,2020,3,0
274029,A,A107700,2020,27,75
274030,A,A107800,2020,180,110
274031,A,A107900,2020,6,110
274032,A,A108000,2020,72,45
274033,A,A108100,2020,6,0
274034,A,A108200,2020,6,0
274035,A,A108300,2020,3,9
274036,A,A108500,2020,33,45
274037,A,A108600,2020,129,85
274038,A,A108700,2020,12,0
274039,A,A108800,2020,15,9
274040,A,A108900,2020,21,25
274041,A,A109000,2020,78,20
274042,A,A109100,2020,318,430
274043,A,A109200,2020,252,330
274044,A,A109300,2020,51,240
274045,A,A109400,2020,258,200
274046,A,A109500,2020,132,80
274047,A,A109600,2020,27,15
274048,A,A109700,2020,108,110
274049,A,A109800,2020,81,40
274050,A,A109900,2020,3,0
274051,A,A110100,2020,3,3
274052,A,A110200,2020,120,95
274053,A,A110400,2020,237,170
274054,A,A110500,2020,12,6
274055,A,A110700,2020,126,220
274056,A,A110800,2020,120,70
274057,A,A110900,2020,48,25
274058,A,A111100,2020,15,9
274059,A,A111200,2020,129,180
274060,A,A111300,2020,21,12
274061,A,A111400,2020,27,30
274062,A,A111500,2020,54,100
274063,A,A111600,2020,81,15
274064,A,A111700,2020,9,0
274065,A,A111800,2020,9,9
274066,A,A111900,2020,15,6
274067,A,A112100,2020,51,21
274068,A,A112200,2020,3,0
274069,A,A112300,2020,45,9
274070,A,A112400,2020,6,6
274071,A,A112500,2020,33,15
274072,A,A112600,2020,45,25
274073,A,A112700,2020,0,0
274074,A,A112800,2020,3,6
274075,A,A112900,2020,0,0
274076,A,A113000,2020,0,0
274077,A,A113200,2020,36,25
274078,A,A113300,2020,3,0
274079,A,A113400,2020,24,9
274080,A,A113500,2020,21,30
274081,A,A113600,2020,0,0
274082,A,A113700,2020,0,0
274083,A,A113800,2020,3,0
274084,A,A113900,2020,6,0
274085,A,A114000,2020,3,0
274086,A,A114100,2020,9,3
274087,A,A114200,2020,15,45
274088,A,A114300,2020,9,9
274089,A,A114400,2020,6,3
274090,A,A114500,2020,0,0
274091,A,A114700,2020,48,25
274092,A,A114800,2020,12,35
274093,A,A114900,2020,0,0
274094,A,A115000,2020,12,12
274095,A,A115300,2020,21,3
274096,A,A115400,2020,3,0
274097,A,A115500,2020,15,0
274098,A,A115600,2020,6,0
274099,A,A115700,2020,0,0
274100,A,A115800,2020,6,3
274101,A,A115900,2020,0,15
274102,A,A116100,2020,42,200
274103,A,A116200,2020,3,0
274104,A,A116300,2020,9,15
274105,A,A116400,2020,48,12
274106,A,A116600,2020,6,0
